,Risk
659,5.552912500305483e-08
660,0.00019904578790193748
661,5.446770012024054e-08
662,7.823060623196382e-08
663,1.3940342178366997e-07
664,5.601628006002552e-08
665,4.775476774754863e-08
666,1.4324038886222846e-06
667,6.908534914152512e-08
668,5.8948525673486946e-08
669,6.22539097136418e-08
670,6.783137100294364e-08
671,4.539438074025898e-08
672,4.127665901698923e-08
673,4.175547334300188e-08
674,5.663684088234597e-08
675,4.2562345158639446e-08
676,4.725123426338715e-08
677,4.362630014122449e-07
678,4.7994204885651335e-08
679,5.623497717136631e-08
680,7.746956625647342e-08
681,8.243884576147937e-08
682,6.832252105596607e-08
683,4.07378627042156e-08
684,1.1259445931321105e-07
685,8.2390557129354e-08
686,7.527610054448503e-08
687,5.022311323206539e-06
688,4.198080592292541e-06
689,4.8191112075038404e-08
690,5.086246385650713e-08
691,4.8716507222485086e-08
692,7.446334546184297e-08
693,6.606259949508414e-08
694,7.05280473031724e-08
695,1.0731530016366295e-07
696,4.575385918594117e-07
697,7.557970866434057e-08
698,9.011575365179699e-08
699,4.5461993723073015e-07
700,2.121859306583052e-06
701,4.095632830769693e-07
702,9.237223008515971e-07
703,1.6692132448890347e-07
704,2.1003203431960917e-07
705,7.374320711945953e-07
706,2.3793407875431075e-07
707,8.62051834104298e-06
708,3.4465993121140654e-07
709,4.4843789628342586e-07
710,4.97792683568036e-07
711,5.274842060914416e-07
712,1.3820027065854316e-07
713,1.8807070824721434e-07
714,3.178144272784535e-07
715,7.148494260490687e-08
716,1.8749564278586745e-07
717,5.8690017096873564e-08
718,6.455865833752171e-08
719,7.505162236450522e-06
720,4.494647191269834e-08
721,5.4809321858549006e-08
722,6.106570228108681e-05
723,3.878757689272038e-08
724,3.322447911391872e-08
725,3.35201558550214e-08
726,2.8396194222667995e-08
727,3.3166235784161304e-08
728,2.521309550205664e-08
729,2.181725087576241e-08
730,6.429635705892285e-06
731,6.69459260964606e-08
732,7.758763341298847e-08
733,1.6724036587928876e-07
734,2.458182045354319e-06
735,1.1351253630744279e-06
736,1.962800866072816e-08
737,1.2100284555204749e-08
738,3.408064710662201e-08
739,9.113392048734287e-08
740,9.262317369936719e-07
741,3.6178514038079395e-06
742,2.4600034526666073e-07
743,2.0634680494750697e-08
744,2.307166882072233e-08
745,2.1012303543896674e-08
746,3.8038490608937376e-08
747,5.01554282405205e-08
748,2.274931031869586e-08
749,2.0550468490167993e-08
750,1.974734932159836e-08
751,3.712300158579405e-07
752,1.0082132968906485e-07
753,2.6901990809968547e-08
754,1.5535690909100913e-05
755,3.436047946460888e-07
756,8.341566106050166e-08
757,1.584544585426377e-06
758,5.18950159064609e-08
759,2.3289239084281864e-07
760,4.866699619157486e-07
761,1.4746393325115725e-06
762,2.2634032586565528e-08
763,3.640249457814447e-08
764,8.570559064218442e-07
765,2.083780969284631e-08
766,3.472024574377272e-07
767,4.986561406294065e-07
768,3.390011095243254e-08
769,2.7394504794844415e-07
770,5.4726486479563055e-08
771,3.5328948566760213e-06
772,3.853018851890046e-07
773,7.492049314785876e-08
774,9.049801532446262e-08
775,1.7067198360560296e-07
776,1.6716724577860522e-07
777,1.6568353971524644e-07
778,1.4726175485763716e-07
779,2.0655536229929483e-07
780,1.604517147908769e-07
781,1.474513056728322e-07
782,1.692295048684697e-07
783,2.224790369833335e-07
784,2.088231899501383e-07
785,1.6115993497210024e-07
786,1.5197357868891028e-07
787,1.5322944097644149e-07
788,5.232330973996891e-07
789,1.557018359967715e-07
790,1.4371271344878524e-07
791,1.2961871627716858e-07
792,9.994005309786694e-08
793,1.0654707349592965e-07
794,9.222197291073999e-07
795,1.8764226922137553e-07
796,3.40975452418746e-07
797,1.3253581501240115e-07
798,1.8852665481854648e-06
799,3.2629686771663945e-07
800,1.2285301437696237e-07
801,5.6023949612108677e-08
802,4.952283805334084e-07
803,4.776112890376993e-08
804,1.4194164848491795e-07
805,1.2629067439861612e-07
806,9.596305178512183e-07
807,4.8909841902583325e-08
808,3.404850472657212e-08
809,1.0091373210516071e-07
810,8.226574320608933e-08
811,6.114405612185223e-08
812,3.3851642920504065e-08
813,1.4876535877749382e-06
814,3.2833895064921014e-07
815,2.8572825326834023e-08
816,2.4924192801868112e-08
817,2.4018678488258826e-08
818,5.1990200849564525e-08
819,3.4462454345984345e-08
820,5.439487263139607e-08
821,5.574577870526285e-08
822,6.838402925235188e-08
823,3.4059467019968363e-07
824,7.06627067538524e-08
825,9.733257857830654e-08
826,6.673461880911292e-08
827,1.4560022095197857e-07
828,7.749477845446562e-08
829,1.0079486928062642e-07
830,7.309276647197952e-08
831,1.1097451305771786e-07
832,1.3755664488880435e-07
833,5.2093771716562345e-06
834,4.778779004284358e-08
835,1.062537789444645e-06
836,1.2392688040563403e-07
837,1.0126653000487742e-07
838,5.983376536625112e-08
839,1.0007153617334754e-07
840,2.2254253375220497e-07
841,3.439425382244091e-08
842,1.8551127018256138e-07
